Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD26,Krithika,Snacks,Chocolates,Tirunelveli,1/16/2017,West,2022,0.11,202.2,Tamil Nadu
OD27,Muneer,Snacks,Cookies,Trichy,1/16/2017,West,541,0.12,43.28,Tamil Nadu
OD28,Jackson,Bakery,Biscuits,Viluppuram,9/17/2016,East,979,0.22,401.39,Tamil Nadu
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,9/17/2016,East,1988,0.22,874.72,Tamil Nadu
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,9/17/2016,East,989,0.17,69.23,Tamil Nadu
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,9/17/2016,East,1845,0.24,166.05,Tamil Nadu
OD32,Mathew,Snacks,Noodles,Vellore,9/17/2016,East,1400,0.11,420,Tamil Nadu
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,9/17/2016,East,2163,0.26,670.53,Tamil Nadu
OD34,Anu,Oil & Masala,Masalas,Madurai,9/17/2016,East,1689,0.34,337.8,Tamil Nadu
OD35,Anu,Beverages,Health Drinks,Vellore,10/19/2018,Central,809,0.32,80.9,Tamil Nadu
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,12/8/2017,Central,1265,0.22,569.25,Tamil Nadu
OD37,James,Beverages,Soft Drinks,Salem,12/8/2017,Central,934,0.35,56.04,Tamil Nadu
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,12/27/2016,Central,1354,0.16,446.82,Tamil Nadu
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,12/27/2016,Central,1751,0.19,280.16,Tamil Nadu
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,12/27/2016,Central,2045,0.23,879.35,Tamil Nadu
OD41,Malik,Beverages,Health Drinks,Namakkal,12/27/2016,Central,660,0.19,92.4,Tamil Nadu
OD42,Arutra,Beverages,Soft Drinks,Salem,9/10/2018,Central,1868,0.18,616.44,Tamil Nadu
OD43,Sharon,Snacks,Cookies,Bodi,7/17/2017,West,1017,0.25,345.78,Tamil Nadu
OD44,Mathew,Snacks,Cookies,Dharmapuri,9/19/2018,South,2311,0.2,1039.95,Tamil Nadu
OD45,Amrish,Bakery,Biscuits,Krishnagiri,3/11/2017,Central,1663,0.17,731.72,Tamil Nadu
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,3/11/2017,Central,1420,0.19,355,Tamil Nadu
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,10/20/2015,Central,1415,0.31,509.4,Tamil Nadu
OD48,Mathew,Snacks,Noodles,Chennai,6/20/2017,East,1488,0.3,610.08,Tamil Nadu
OD49,Ridhesh,Snacks,Noodles,Pudukottai,6/20/2017,East,726,0.18,43.56,Tamil Nadu
OD50,Amrish,Bakery,Cakes,Ooty,4/18/2016,Central,1259,0.15,415.47,Tamil Nadu
OD51,Esther,Beverages,Soft Drinks,Salem,4/18/2016,Central,902,0.29,153.34,Tamil Nadu
OD52,Shah,Beverages,Soft Drinks,Salem,4/18/2016,Central,2306,0.3,553.44,Tamil Nadu
OD53,Sudha,Bakery,Cakes,Theni,4/18/2016,Central,1417,0.19,99.19,Tamil Nadu
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,12/11/2017,East,627,0.33,181.83,Tamil Nadu
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,12/11/2017,East,760,0.28,60.8,Tamil Nadu
OD56,Muneer,Food Grains,Atta & Flour,Salem,6/17/2017,East,2350,0.15,611,Tamil Nadu
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,6/17/2017,East,1179,0.34,271.17,Tamil Nadu
OD58,Veena,Food Grains,Dals & Pulses,Trichy,6/17/2017,East,1624,0.35,194.88,Tamil Nadu
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,6/17/2017,East,1316,0.35,421.12,Tamil Nadu
OD60,Shree,Beverages,Health Drinks,Coimbatore,6/17/2017,East,2121,0.12,678.72,Tamil Nadu
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,6/17/2017,East,1428,0.28,271.32,Tamil Nadu
OD62,Willams,Snacks,Noodles,Perambalur,6/17/2017,East,706,0.33,289.46,Tamil Nadu
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,11/24/2016,West,921,0.25,184.2,Tamil Nadu
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,11/24/2016,West,1741,0.31,661.58,Tamil Nadu
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,11/24/2016,West,607,0.22,200.31,Tamil Nadu
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,11/24/2016,West,1824,0.25,766.08,Tamil Nadu
OD67,Vinne,Food Grains,Atta & Flour,Madurai,4/30/2016,Central,1368,0.11,383.04,Tamil Nadu
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,12/5/2015,West,1160,0.16,510.4,Tamil Nadu
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,12/5/2015,West,1294,0.23,77.64,Tamil Nadu
OD70,Peer,Oil & Masala,Masalas,Ooty,6/4/2017,South,1232,0.14,554.4,Tamil Nadu
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,9/18/2017,East,994,0.31,357.84,Tamil Nadu
OD72,Yusuf,Snacks,Noodles,Kanyakumari,9/14/2018,Central,2468,0.18,1011.88,Tamil Nadu
OD73,Alan,Snacks,Cookies,Theni,4/26/2016,South,721,0.27,100.94,Tamil Nadu
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,4/26/2016,South,2375,0.21,475,Tamil Nadu
OD75,Arvind,Beverages,Soft Drinks,Vellore,4/26/2016,South,1965,0.13,117.9,Tamil Nadu
OD76,Veronica,Beverages,Soft Drinks,Bodi,12/9/2018,Central,1489,0.12,193.57,Tamil Nadu
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,12/9/2018,Central,1250,0.27,75,Tamil Nadu
OD78,Anu,Snacks,Noodles,Coimbatore,12/9/2018,Central,1358,0.31,488.88,Tamil Nadu
OD79,Haseena,Snacks,Cookies,Vellore,11/26/2015,Central,719,0.2,64.71,Tamil Nadu
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,6/12/2017,South,2303,0.26,621.81,Tamil Nadu
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,6/12/2017,South,2027,0.34,912.15,Tamil Nadu
OD82,Amy,Food Grains,Atta & Flour,Bodi,10/12/2015,West,1739,0.29,765.16,Tamil Nadu
OD83,Komal,Oil & Masala,Spices,Cumbum,10/12/2015,West,990,0.26,227.7,Tamil Nadu
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,9/3/2016,South,2354,0.11,682.66,Tamil Nadu
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,11/13/2018,Central,1044,0.1,344.52,Tamil Nadu
OD86,Willams,Oil & Masala,Spices,Dindigul,5/28/2018,South,2129,0.25,659.99,Tamil Nadu
OD87,Sharon,Food Grains,Rice,Theni,10/26/2018,Central,1759,0.1,615.65,Tamil Nadu
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,10/26/2018,Central,1663,0.26,665.2,Tamil Nadu
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,4/5/2017,Central,2111,0.21,189.99,Tamil Nadu
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,9/17/2017,West,1878,0.12,450.72,Tamil Nadu
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,9/17/2017,West,769,0.34,46.14,Tamil Nadu
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,9/17/2017,West,1241,0.14,409.53,Tamil Nadu
OD93,Ravi,Food Grains,Atta & Flour,Madurai,1/31/2016,Central,2128,0.14,383.04,Tamil Nadu
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,1/31/2016,Central,2257,0.33,270.84,Tamil Nadu
OD95,Mathew,Snacks,Chocolates,Bodi,1/31/2016,Central,1285,0.28,218.45,Tamil Nadu
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,11/6/2018,West,1230,0.13,442.8,Tamil Nadu
OD97,Sudha,Food Grains,Atta & Flour,Ooty,11/9/2018,East,1856,0.21,723.84,Tamil Nadu
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,6/17/2018,West,545,0.31,125.35,Tamil Nadu
OD99,Vince,Snacks,Chocolates,Dharmapuri,9/6/2017,Central,2301,0.28,391.17,Tamil Nadu
OD100,Krithika,Oil & Masala,Spices,Chennai,8/29/2017,Central,1475,0.26,531,Tamil Nadu
OD101,Adavan,Bakery,Cakes,Coimbatore,8/29/2017,Central,2118,0.35,910.74,Tamil Nadu
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,8/29/2017,Central,1527,0.17,671.88,Tamil Nadu
OD103,Vinne,Snacks,Chocolates,Nagercoil,12/1/2017,Central,567,0.18,175.77,Tamil Nadu
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,11/13/2016,West,969,0.27,184.11,Tamil Nadu
OD105,Suresh,Food Grains,Dals & Pulses,Karur,11/13/2016,West,2300,0.14,1035,Tamil Nadu
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,11/13/2016,West,1575,0.33,78.75,Tamil Nadu
OD107,Sundar,Beverages,Health Drinks,Cumbum,11/23/2018,South,540,0.12,108,Tamil Nadu
OD108,Willams,Snacks,Cookies,Tirunelveli,11/23/2018,South,536,0.34,176.88,Tamil Nadu
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,11/23/2018,South,556,0.21,155.68,Tamil Nadu
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,10/15/2016,Central,1179,0.16,271.17,Tamil Nadu
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,12/25/2018,East,1487,0.12,505.58,Tamil Nadu
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,11/3/2017,Central,2220,0.1,111,Tamil Nadu
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,11/3/2017,Central,2155,0.3,581.85,Tamil Nadu
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,8/25/2015,East,1154,0.1,69.24,Tamil Nadu
OD115,Muneer,Snacks,Noodles,Salem,8/25/2015,East,2420,0.11,242,Tamil Nadu
OD116,Rumaiza,Snacks,Chocolates,Karur,8/25/2015,East,1305,0.24,287.1,Tamil Nadu
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,8/25/2015,East,927,0.2,157.59,Tamil Nadu
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,3/2/2016,West,983,0.11,186.77,Tamil Nadu
OD119,Akash,Food Grains,Rice,Chennai,4/5/2016,South,903,0.1,90.3,Tamil Nadu
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,6/12/2017,East,1235,0.12,74.1,Tamil Nadu
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,6/12/2017,East,1243,0.24,174.02,Tamil Nadu
OD122,Harish,Bakery,Cakes,Krishnagiri,6/12/2017,East,649,0.34,201.19,Tamil Nadu
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,6/12/2017,East,2354,0.11,188.32,Tamil Nadu
OD124,Anu,Beverages,Soft Drinks,Cumbum,6/12/2017,East,1443,0.27,187.59,Tamil Nadu
OD125,Sudeep,Bakery,Breads & Buns,Madurai,12/26/2015,Central,975,0.26,390,Tamil Nadu
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,9/20/2015,Central,889,0.19,71.12,Tamil Nadu
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,11/5/2018,West,2352,0.17,870.24,Tamil Nadu
OD128,Harish,Oil & Masala,Spices,Tirunelveli,11/5/2018,West,1293,0.23,336.18,Tamil Nadu
OD129,Sharon,Food Grains,Rice,Bodi,11/6/2017,West,1458,0.29,597.78,Tamil Nadu
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,11/6/2017,West,1801,0.22,126.07,Tamil Nadu
OD131,Haseena,Snacks,Chocolates,Tenkasi,2/2/2018,East,1261,0.29,416.13,Tamil Nadu
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2/2/2018,East,2112,0.28,105.6,Tamil Nadu
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2/2/2018,East,640,0.24,140.8,Tamil Nadu
OD134,Shah,Bakery,Cakes,Tenkasi,10/13/2017,West,1658,0.12,315.02,Tamil Nadu
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,10/13/2017,West,2373,0.18,664.44,Tamil Nadu
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,10/13/2017,West,1430,0.19,514.8,Tamil Nadu
OD137,Sundar,Oil & Masala,Spices,Viluppuram,10/13/2017,West,1873,0.3,674.28,Tamil Nadu
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,10/13/2017,West,867,0.14,329.46,Tamil Nadu
OD139,Malik,Snacks,Noodles,Theni,10/13/2017,West,1101,0.19,484.44,Tamil Nadu
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,10/13/2017,West,1088,0.28,424.32,Tamil Nadu
OD141,Veena,Bakery,Biscuits,Perambalur,9/5/2017,East,866,0.32,381.04,Tamil Nadu
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,9/18/2018,West,2483,0.14,223.47,Tamil Nadu
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,9/18/2018,West,1335,0.11,293.7,Tamil Nadu
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,9/18/2018,West,765,0.24,252.45,Tamil Nadu
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,12/22/2018,Central,2403,0.2,624.78,Tamil Nadu
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,9/7/2016,West,1551,0.13,573.87,Tamil Nadu
OD147,Ridhesh,Food Grains,Organic Staples,Theni,10/22/2015,East,1564,0.27,187.68,Tamil Nadu
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,12/5/2017,Central,1125,0.33,292.5,Tamil Nadu
OD149,Veronica,Beverages,Health Drinks,Tenkasi,12/5/2017,Central,768,0.1,184.32,Tamil Nadu
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,12/5/2017,Central,1985,0.26,734.45,Tamil Nadu
OD151,Muneer,Food Grains,Rice,Bodi,12/5/2017,Central,2287,0.13,1029.15,Tamil Nadu
OD152,Jackson,Snacks,Chocolates,Pudukottai,3/13/2017,West,1016,0.34,335.28,Tamil Nadu
OD153,Amy,Snacks,Cookies,Namakkal,3/13/2017,West,852,0.26,76.68,Tamil Nadu
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,5/31/2016,West,1233,0.28,234.27,Tamil Nadu
OD155,Jonas,Snacks,Noodles,Pudukottai,5/31/2016,West,2236,0.14,626.08,Tamil Nadu
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,5/31/2016,West,2188,0.32,809.56,Tamil Nadu
OD157,Peer,Snacks,Cookies,Coimbatore,5/28/2016,West,1114,0.2,456.74,Tamil Nadu
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,3/1/2015,West,1774,0.15,620.9,Tamil Nadu
OD159,Amy,Beverages,Soft Drinks,Karur,11/20/2017,Central,2364,0.21,1040.16,Tamil Nadu
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,11/20/2017,Central,1487,0.11,148.7,Tamil Nadu
OD161,Yadav,Beverages,Soft Drinks,Ooty,5/11/2017,West,713,0.3,192.51,Tamil Nadu
OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,12/28/2016,East,737,0.2,280.06,Tamil Nadu
OD163,Amrish,Snacks,Chocolates,Trichy,11/16/2017,West,1004,0.26,341.36,Tamil Nadu
OD164,Hussain,Snacks,Cookies,Theni,11/7/2017,West,1516,0.32,121.28,Tamil Nadu
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,9/8/2015,Central,1442,0.28,605.64,Tamil Nadu
OD166,Sudha,Beverages,Health Drinks,Madurai,9/8/2015,Central,1690,0.33,422.5,Tamil Nadu
OD167,Adavan,Snacks,Chocolates,Bodi,9/8/2015,Central,2021,0.13,343.57,Tamil Nadu
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,9/8/2015,Central,2340,0.25,491.4,Tamil Nadu
OD169,Krithika,Oil & Masala,Spices,Viluppuram,9/8/2015,Central,705,0.15,176.25,Tamil Nadu
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,9/8/2015,Central,1215,0.2,60.75,Tamil Nadu
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,9/8/2015,Central,552,0.25,237.36,Tamil Nadu
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,8/5/2015,West,1412,0.11,564.8,Tamil Nadu
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,8/5/2015,West,791,0.32,150.29,Tamil Nadu
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,8/5/2015,West,2476,0.33,420.92,Tamil Nadu
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,9/14/2015,Central,1747,0.27,471.69,Tamil Nadu
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,9/14/2015,Central,1973,0.15,848.39,Tamil Nadu
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,4/21/2018,Central,2025,0.24,546.75,Tamil Nadu
OD178,Rumaiza,Snacks,Noodles,Vellore,11/21/2016,East,1016,0.29,223.52,Tamil Nadu
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,11/21/2016,East,689,0.3,55.12,Tamil Nadu
OD180,Krithika,Food Grains,Atta & Flour,Karur,12/15/2016,East,1322,0.16,343.72,Tamil Nadu
OD181,Arvind,Snacks,Cookies,Bodi,12/5/2015,Central,1605,0.25,433.35,Tamil Nadu
OD182,Ravi,Beverages,Health Drinks,Namakkal,12/5/2015,Central,1718,0.2,171.8,Tamil Nadu
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,11/19/2015,South,2177,0.35,783.72,Tamil Nadu
OD184,Surya,Food Grains,Organic Staples,Cumbum,11/19/2015,South,578,0.19,236.98,Tamil Nadu
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,11/19/2015,South,782,0.28,195.5,Tamil Nadu
OD186,Shah,Snacks,Noodles,Chennai,11/28/2017,East,1388,0.35,97.16,Tamil Nadu
OD187,Krithika,Bakery,Cakes,Cumbum,8/26/2015,West,2264,0.21,792.4,Tamil Nadu
OD188,Anu,Beverages,Soft Drinks,Pudukottai,7/16/2017,Central,813,0.16,138.21,Tamil Nadu
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,7/16/2017,Central,2015,0.24,564.2,Tamil Nadu
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,10/12/2016,East,1433,0.3,472.89,Tamil Nadu
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,10/12/2016,East,2093,0.11,334.88,Tamil Nadu
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,10/12/2016,East,2149,0.17,623.21,Tamil Nadu
OD193,Anu,Beverages,Health Drinks,Dharmapuri,10/12/2016,East,1972,0.32,414.12,Tamil Nadu
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,10/12/2016,East,2060,0.25,432.6,Tamil Nadu
OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,10/31/2016,West,1175,0.12,340.75,Tamil Nadu
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,3/21/2015,East,1006,0.25,191.14,Tamil Nadu
OD197,Sudeep,Bakery,Breads & Buns,Karur,3/21/2015,East,1409,0.16,380.43,Tamil Nadu
OD198,Verma,Food Grains,Organic Staples,Pudukottai,11/6/2018,East,914,0.34,338.18,Tamil Nadu
OD199,Surya,"Eggs, Meat & Fish",Mutton,Tirunelveli,7/6/2018,East,1352,0.3,527.28,Tamil Nadu
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Trichy,7/6/2018,East,682,0.25,170.5,Tamil Nadu
OD201,James,Food Grains,Organic Staples,Tirunelveli,6/24/2018,East,1738,0.22,243.32,Tamil Nadu
OD202,Vidya,Bakery,Cakes,Salem,8/3/2015,West,2421,0.25,484.2,Tamil Nadu
OD203,Jackson,Food Grains,Organic Staples,Ramanadhapuram,8/3/2015,West,2245,0.24,404.1,Tamil Nadu
OD204,Akash,Oil & Masala,Masalas,Vellore,12/17/2018,Central,896,0.12,295.68,Tamil Nadu
OD205,Ram,Oil & Masala,Spices,Virudhunagar,6/3/2018,South,1033,0.3,185.94,Tamil Nadu
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Madurai,12/9/2018,West,1998,0.29,139.86,Tamil Nadu
OD207,Verma,"Eggs, Meat & Fish",Chicken,Perambalur,12/1/2018,Central,1469,0.15,646.36,Tamil Nadu
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Ramanadhapuram,12/1/2018,Central,1899,0.25,360.81,Tamil Nadu
OD209,Esther,"Eggs, Meat & Fish",Mutton,Pudukottai,12/1/2018,Central,2194,0.2,153.58,Tamil Nadu
OD210,Amrish,Beverages,Soft Drinks,Vellore,12/1/2018,Central,1942,0.29,504.92,Tamil Nadu
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Kanyakumari,12/1/2018,Central,609,0.3,207.06,Tamil Nadu
OD212,Verma,"Eggs, Meat & Fish",Chicken,Trichy,2/9/2016,Central,2353,0.26,423.54,Tamil Nadu
OD213,Peer,Beverages,Soft Drinks,Salem,1/2/2016,East,1591,0.15,270.47,Tamil Nadu
OD214,Arutra,Food Grains,Rice,Krishnagiri,1/2/2016,East,1353,0.11,527.67,Tamil Nadu
OD215,Jonas,Beverages,Health Drinks,Namakkal,1/2/2016,East,1020,0.21,81.6,Tamil Nadu
OD216,Harish,Snacks,Noodles,Ramanadhapuram,1/2/2016,East,1362,0.31,177.06,Tamil Nadu
OD217,Sundar,Food Grains,Rice,Krishnagiri,1/2/2016,East,1733,0.31,433.25,Tamil Nadu
OD218,Suresh,Oil & Masala,Masalas,Tirunelveli,10/28/2017,West,1949,0.17,97.45,Tamil Nadu
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Virudhunagar,10/28/2017,West,2368,0.34,876.16,Tamil Nadu
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Pudukottai,12/24/2016,East,2110,0.25,485.3,Tamil Nadu
OD221,Ramesh,Food Grains,Dals & Pulses,Madurai,12/24/2016,East,1940,0.2,795.4,Tamil Nadu
OD222,Willams,"Eggs, Meat & Fish",Fish,Vellore,12/24/2016,East,1557,0.2,638.37,Tamil Nadu
OD223,Ramesh,"Eggs, Meat & Fish",Fish,Madurai,12/24/2016,East,1443,0.19,274.17,Tamil Nadu
OD224,Yadav,Beverages,Soft Drinks,Perambalur,12/24/2016,East,2024,0.11,910.8,Tamil Nadu
OD225,Krithika,"Eggs, Meat & Fish",Chicken,Viluppuram,12/24/2016,East,2168,0.16,563.68,Tamil Nadu
OD226,Verma,"Eggs, Meat & Fish",Chicken,Tirunelveli,8/9/2016,Central,621,0.24,173.88,Tamil Nadu
OD227,Komal,Food Grains,Organic Staples,Madurai,8/9/2016,Central,1230,0.17,295.2,Tamil Nadu
OD228,Harish,Snacks,Cookies,Salem,8/9/2016,Central,560,0.34,240.8,Tamil Nadu
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,Tenkasi,2/28/2016,South,1286,0.22,282.92,Tamil Nadu
OD230,Ramesh,Beverages,Health Drinks,Tenkasi,2/28/2016,South,1242,0.34,149.04,Tamil Nadu
OD231,Arvind,Bakery,Breads & Buns,Krishnagiri,9/13/2015,South,717,0.21,43.02,Tamil Nadu
OD232,Komal,Beverages,Soft Drinks,Namakkal,4/7/2018,South,1480,0.22,444,Tamil Nadu
OD233,Komal,Food Grains,Dals & Pulses,Salem,4/7/2018,South,826,0.18,247.8,Tamil Nadu
OD234,Ramesh,Snacks,Cookies,Ooty,4/7/2018,South,1846,0.22,276.9,Tamil Nadu
OD235,Mathew,Beverages,Soft Drinks,Viluppuram,4/7/2018,South,2045,0.12,552.15,Tamil Nadu
OD236,Vince,Fruits & Veggies,Organic Fruits,Nagercoil,4/7/2018,South,1983,0.17,773.37,Tamil Nadu
OD237,Shah,Bakery,Cakes,Bodi,11/12/2018,West,650,0.16,247,Tamil Nadu
