"First Name","Last Name","Experience (Years)","Salary","Number of Children"
"Miranda","Stevens","0","97359","3"
"Alina","Kelly","18","81457","1"
"Violet","Alexander","17","50617","2"
"Audrey","Harrison","12","137715","1"
"Reid","Dixon","8","47136","0"
"Miranda","Lloyd","22","135535","4"
"Maximilian","Dixon","27","63033","5"
"Anna","Stevens","3","161411","2"
"Reid","Harris","28","153440","4"
"Alissa","Harper","16","146270","1"
"Martin","Sullivan","22","189592","2"
"Vivian","Davis","3","96225","3"
"Daryl","Martin","30","74060","0"
"Daryl","Chapman","14","114401","3"
"Alexia","Henderson","15","102110","0"
"Dominik","Thompson","18","178501","4"
"Stella","Alexander","26","173321","1"
"Emily","Richards","27","46161","1"
"Kate","Barnes","28","97590","3"
"Violet","Mitchell","22","93016","5"
"Reid","Morrison","1","185032","0"
"Rubie","Cameron","23","77941","1"
"Nicholas","Morris","29","167917","2"
"Arianna","Hamilton","9","117060","2"
"Deanna","Jones","25","119936","4"
"Henry","Payne","6","124425","2"
"Jordan","Bennett","20","166857","2"
"Annabella","Wilson","30","98176","2"
"Tess","Adams","13","109120","4"
"Amelia","Henderson","25","41685","2"
"Caroline","Campbell","8","49737","3"
"Aston","Phillips","4","185221","1"
"Sophia","Morris","12","68601","4"
"Kellan","Reed","5","192830","1"
"Savana","Perry","10","147178","5"
"Paul","Richards","22","67945","0"
"Alexander","Ross","9","181773","3"
"Clark","Adams","29","171204","4"
"Aida","Russell","18","153062","2"
"Elise","Tucker","20","155139","3"
"Frederick","Wilson","3","197394","2"
"Charlie","Barnes","8","180798","4"
"Dominik","Turner","25","124125","5"
"Sofia","Murphy","26","113288","4"
"Maya","Walker","28","87289","1"
"Ellia","Sullivan","18","165071","2"
"Anna","Brooks","18","132591","4"
"Owen","Murphy","8","74513","0"
"Michael","Ferguson","22","59917","0"
"Alexander","Reed","26","145928","2"
"Michael","Johnston","17","44272","3"
"Aldus","Perry","0","178706","1"
"Lucy","Richards","5","94822","4"
"Julia","Hawkins","11","126852","5"
"Savana","Thompson","25","155960","0"
"Amanda","Morgan","10","180799","1"
"Fiona","Robinson","4","41611","2"
"Nicholas","Hunt","12","135316","0"
"Brianna","Owens","6","149480","1"
"Dale","Owens","20","115777","3"
"Aida","Carter","18","103611","5"
"Cherry","Smith","22","129720","1"
"Belinda","Holmes","6","114511","1"
"Audrey","Spencer","12","180394","1"
"Lily","Higgins","19","33100","2"
"Kelsey","Anderson","17","152891","1"
"Darcy","Alexander","23","50026","4"
"Amanda","Roberts","15","50879","1"
"Arthur","Carroll","12","135648","1"
"Catherine","Hamilton","19","117135","3"
"Leonardo","Ellis","22","180622","1"
"Elise","Watson","20","124786","1"
"Steven","Riley","6","121937","4"
"Fiona","Wright","13","165037","0"
"Derek","Elliott","7","189188","3"
"Ryan","Adams","25","45566","5"
"Adrian","Gray","3","150170","1"
